timestamp,timestamp_unix,d_2-1,dt_2-1,d_2-3,dt_2-3,d_3-2,dt_3-2,d_3-4,dt_3-4,d_3-6,dt_3-6,d_4-3,dt_4-3,d_4-5,dt_4-5,d_5-4,dt_5-4,d_5-6,dt_5-6,d_6-0,dt_6-0,d_6-3,dt_6-3,d_6-5,dt_6-5
2023-04-04 14:58:40.286821,1680620320,110,139,116,135,266,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 15:28:40.286821,1680622120,110,139,116,169,266,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 15:58:40.286821,1680623920,110,148,116,163,266,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 16:28:40.286821,1680625720,110,140,116,162,266,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 16:58:40.286821,1680627520,110,143,116,159,266,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 17:28:40.286821,1680629320,110,130,116,144,266,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 17:58:40.286821,1680631120,110,110,116,107,266,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 18:28:40.286821,1680632920,110,105,116,102,266,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 18:58:40.286821,1680634720,110,104,116,98,266,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 19:28:40.286821,1680636520,110,102,116,100,266,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 19:58:40.286821,1680638320,110,101,116,98,266,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 20:28:40.286821,1680640120,110,98,116,96,266,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 20:58:40.286821,1680641920,110,96,116,94,266,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 21:28:40.286821,1680643720,110,96,116,93,266,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 21:58:40.286821,1680645520,110,97,116,92,266,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 22:28:40.286821,1680647320,110,97,116,86,266,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 22:58:40.286821,1680649120,110,95,116,80,266,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 23:28:40.286821,1680650920,110,97,116,75,266,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04 23:58:40.286821,1680652720,110,99,116,77,266,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 00:28:40.286821,1680654520,110,99,116,72,266,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 00:58:40.286821,1680656320,110,89,116,75,266,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 01:28:40.286821,1680658120,110,89,116,70,266,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 01:58:40.286821,1680659920,110,95,116,75,266,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 02:28:40.286821,1680661720,110,95,116,73,266,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 02:58:40.286821,1680663520,110,92,116,71,266,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 03:28:40.286821,1680665320,110,96,116,75,266,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 03:58:40.286821,1680667120,110,98,116,82,266,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 04:28:40.286821,1680668920,110,97,116,88,266,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 04:58:40.286821,1680670720,110,99,116,96,266,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 05:28:40.286821,1680672520,110,103,116,113,266,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 05:58:40.286821,1680674320,110,113,116,151,266,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 06:28:40.286821,1680676120,110,143,116,156,266,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 06:58:40.286821,1680677920,110,143,116,147,266,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 07:28:40.286821,1680679720,110,111,116,146,266,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 07:58:40.286821,1680681520,110,110,116,147,266,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 08:28:40.286821,1680683320,110,114,116,146,266,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 08:58:40.286821,1680685120,110,111,116,119,266,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 09:28:40.286821,1680686920,110,117,116,146,266,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 09:58:40.286821,1680688720,110,130,116,150,266,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 10:28:40.286821,1680690520,110,129,116,166,266,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 10:58:40.286821,1680692320,110,130,116,163,266,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 11:28:40.286821,1680694120,110,128,116,154,266,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 11:58:40.286821,1680695920,110,131,116,155,266,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 12:28:40.286821,1680697720,110,129,116,152,266,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 12:58:40.286821,1680699520,110,118,116,158,266,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05 13:28:40.286821,1680701320,110,113,116,157,266,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
